sample_id,dsid,file,filename,descriptor,generator,simulation_config,xsec_pb,k_factor,filter_eff,sumw,sumw2,num_events,entries,effective_lumi_fb
301204,301204,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301204.Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_ee_SSM3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301204.Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_ee_SSM3000.GamGam.root,Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_ee_SSM3000,Pythia8EvtGen,A14MSTW2008LO_Zprime_NoInt_ee_SSM3000,0.001762,1.0,1.0,20000.0,20000.0,20000,113,11350.737797956868
301209,301209,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301209.Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_mumu_SSM3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301209.Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_mumu_SSM3000.GamGam.root,Pythia8EvtGen_A14MSTW2008LO_Zprime_NoInt_mumu_SSM3000,Pythia8EvtGen,A14MSTW2008LO_Zprime_NoInt_mumu_SSM3000,0.001772,1.0,1.0,20000.0,20000.0,20000,41,11286.68171557562
301243,301243,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301243.Pythia8EvtGen_A14NNPDF23LO_Wprime_enu_SSM3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301243.Pythia8EvtGen_A14NNPDF23LO_Wprime_enu_SSM3000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_Wprime_enu_SSM3000,Pythia8EvtGen,A14NNPDF23LO_Wprime_enu_SSM3000,0.011414,1.0,1.0,8000.0,8000.0,8000,16,700.8936393902226
301247,301247,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301247.Pythia8EvtGen_A14NNPDF23LO_Wprime_munu_SSM3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301247.Pythia8EvtGen_A14NNPDF23LO_Wprime_munu_SSM3000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_Wprime_munu_SSM3000,Pythia8EvtGen,A14NNPDF23LO_Wprime_munu_SSM3000,0.011432,1.0,1.0,20000.0,20000.0,20000,10,1749.4751574527643
301333,301333,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301333.Pythia8EvtGen_A14NNPDF23LO_zprime3000_tt.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301333.Pythia8EvtGen_A14NNPDF23LO_zprime3000_tt.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_zprime3000_tt,Pythia8EvtGen,A14NNPDF23LO_zprime3000_tt,0.005084,1.0,1.0,30000.0,30000.0,30000,518,5900.865460267506
301826,301826,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301826.Pythia8EvtGen_A14NNPDF23LO_Wprime_qq_3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301826.Pythia8EvtGen_A14NNPDF23LO_Wprime_qq_3000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_Wprime_qq_3000,Pythia8EvtGen,A14NNPDF23LO_Wprime_qq_3000,0.10318,1.0,1.0,10000.0,10000.0,10000,113,96.91800736576856
301928,301928,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_301928.Pythia8EvtGen_A14NNPDF23LO_Zprimebb3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_301928.Pythia8EvtGen_A14NNPDF23LO_Zprimebb3000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_Zprimebb3000,Pythia8EvtGen,A14NNPDF23LO_Zprimebb3000,0.007024,1.0,1.0,10000.0,10000.0,10000,116,1423.6902050113895
302520,302520,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_302520.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_55_100.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_302520.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_55_100.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_55_100,Pythia8EvtGen,A14NNPDF23LO_2DP20_Mass_55_100,85.503,1.0,0.42178,2642000.0,2642000.0,2642000,1066121,73.2597576990802
302521,302521,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_302521.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_100_160.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_302521.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_100_160.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_100_160,Pythia8EvtGen,A14NNPDF23LO_2DP20_Mass_100_160,18.282,1.0,0.44191,642000.0,642000.0,642000,361865,79.46529393020245
302522,302522,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_302522.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_160_250.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_302522.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_160_250.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_160_250,Pythia8EvtGen,A14NNPDF23LO_2DP20_Mass_160_250,5.028,1.0,0.42736,200000.0,200000.0,200000,115369,93.07667403238234
